date,celebrity_name,search_index
2022-12-01,Jennie Garth,1
2023-01-01,Jennie Garth,1
2023-02-01,Jennie Garth,1
2023-03-01,Jennie Garth,1
2023-04-01,Jennie Garth,1
2023-05-01,Jennie Garth,1
2023-06-01,Jennie Garth,2
2023-07-01,Jennie Garth,3
2023-08-01,Jennie Garth,2
2023-09-01,Jennie Garth,2
2023-10-01,Jennie Garth,2
2023-11-01,Jennie Garth,2
2023-12-01,Jennie Garth,2
2024-01-01,Jennie Garth,2
2024-02-01,Jennie Garth,1
2024-03-01,Jennie Garth,2
2024-04-01,Jennie Garth,3
2024-05-01,Jennie Garth,1
2024-06-01,Jennie Garth,3
2024-07-01,Jennie Garth,5
2024-08-01,Jennie Garth,2
2024-09-01,Jennie Garth,2
2024-10-01,Jennie Garth,1
2024-11-01,Jennie Garth,1
2024-12-01,Jennie Garth,1
2025-01-01,Jennie Garth,2
2025-02-01,Jennie Garth,1
2025-03-01,Jennie Garth,1
2025-04-01,Jennie Garth,1
2025-05-01,Jennie Garth,1
2025-06-01,Jennie Garth,3
2025-07-01,Jennie Garth,1
2025-08-01,Jennie Garth,1
2025-09-01,Jennie Garth,1
2025-10-01,Jennie Garth,1
2025-11-01,Jennie Garth,1
2025-12-01,Jennie Garth,1
2026-01-01,Jennie Garth,1
2004-01-01,Jennifer Grey,2
2004-02-01,Jennifer Grey,3
2004-03-01,Jennifer Grey,2
2004-04-01,Jennifer Grey,2
2004-05-01,Jennifer Grey,2
2004-06-01,Jennifer Grey,2
2004-07-01,Jennifer Grey,3
2004-08-01,Jennifer Grey,2
2004-09-01,Jennifer Grey,2
2004-10-01,Jennifer Grey,2
2004-11-01,Jennifer Grey,2
2004-12-01,Jennifer Grey,3
2005-01-01,Jennifer Grey,2
2005-02-01,Jennifer Grey,2
2005-03-01,Jennifer Grey,1
2005-04-01,Jennifer Grey,2
2005-05-01,Jennifer Grey,2
2005-06-01,Jennifer Grey,3
2005-07-01,Jennifer Grey,4
2005-08-01,Jennifer Grey,2
2005-09-01,Jennifer Grey,3
2005-10-01,Jennifer Grey,3
2005-11-01,Jennifer Grey,2
2005-12-01,Jennifer Grey,2
2006-01-01,Jennifer Grey,2
2006-02-01,Jennifer Grey,2
2006-03-01,Jennifer Grey,2
2006-04-01,Jennifer Grey,2
2006-05-01,Jennifer Grey,2
2006-06-01,Jennifer Grey,4
2006-07-01,Jennifer Grey,3
2006-08-01,Jennifer Grey,3
2006-09-01,Jennifer Grey,2
2006-10-01,Jennifer Grey,2
2006-11-01,Jennifer Grey,1
2006-12-01,Jennifer Grey,3
2007-01-01,Jennifer Grey,2
2007-02-01,Jennifer Grey,2
2007-03-01,Jennifer Grey,2
2007-04-01,Jennifer Grey,3
2007-05-01,Jennifer Grey,3
2007-06-01,Jennifer Grey,3
2007-07-01,Jennifer Grey,4
2007-08-01,Jennifer Grey,4
2007-09-01,Jennifer Grey,2
2007-10-01,Jennifer Grey,2
2007-11-01,Jennifer Grey,2
2007-12-01,Jennifer Grey,5
2008-01-01,Jennifer Grey,3
2008-02-01,Jennifer Grey,2
2008-03-01,Jennifer Grey,5
2008-04-01,Jennifer Grey,3
2008-05-01,Jennifer Grey,3
2008-06-01,Jennifer Grey,2
2008-07-01,Jennifer Grey,3
2008-08-01,Jennifer Grey,3
2008-09-01,Jennifer Grey,2
2008-10-01,Jennifer Grey,3
2008-11-01,Jennifer Grey,2
2008-12-01,Jennifer Grey,4
2009-01-01,Jennifer Grey,3
2009-02-01,Jennifer Grey,4
2009-03-01,Jennifer Grey,4
2009-04-01,Jennifer Grey,3
2009-05-01,Jennifer Grey,4
2009-06-01,Jennifer Grey,3
2009-07-01,Jennifer Grey,3
2009-08-01,Jennifer Grey,3
2009-09-01,Jennifer Grey,17
2009-10-01,Jennifer Grey,3
2009-11-01,Jennifer Grey,4
2009-12-01,Jennifer Grey,4
2010-01-01,Jennifer Grey,4
2010-02-01,Jennifer Grey,4
2010-03-01,Jennifer Grey,3
2010-04-01,Jennifer Grey,4
2010-05-01,Jennifer Grey,3
2010-06-01,Jennifer Grey,3
2010-07-01,Jennifer Grey,3
2010-08-01,Jennifer Grey,8
2010-09-01,Jennifer Grey,77
2010-10-01,Jennifer Grey,49
2010-11-01,Jennifer Grey,100
2010-12-01,Jennifer Grey,16
2011-01-01,Jennifer Grey,14
2011-02-01,Jennifer Grey,12
2011-03-01,Jennifer Grey,4
2011-04-01,Jennifer Grey,3
2011-05-01,Jennifer Grey,4
2011-06-01,Jennifer Grey,4
2011-07-01,Jennifer Grey,3
2011-08-01,Jennifer Grey,4
2011-09-01,Jennifer Grey,4
2011-10-01,Jennifer Grey,3
2011-11-01,Jennifer Grey,4
2011-12-01,Jennifer Grey,4
2012-01-01,Jennifer Grey,4
2012-02-01,Jennifer Grey,3
2012-03-01,Jennifer Grey,3
2012-04-01,Jennifer Grey,4
2012-05-01,Jennifer Grey,5
2012-06-01,Jennifer Grey,5
2012-07-01,Jennifer Grey,5
2012-08-01,Jennifer Grey,7
2012-09-01,Jennifer Grey,5
2012-10-01,Jennifer Grey,4
2012-11-01,Jennifer Grey,5
2012-12-01,Jennifer Grey,4
2013-01-01,Jennifer Grey,3
2013-02-01,Jennifer Grey,5
2013-03-01,Jennifer Grey,6
2013-04-01,Jennifer Grey,5
2013-05-01,Jennifer Grey,5
2013-06-01,Jennifer Grey,4
2013-07-01,Jennifer Grey,5
2013-08-01,Jennifer Grey,5
2013-09-01,Jennifer Grey,4
2013-10-01,Jennifer Grey,4
2013-11-01,Jennifer Grey,7
2013-12-01,Jennifer Grey,7
2014-01-01,Jennifer Grey,5
2014-02-01,Jennifer Grey,6
2014-03-01,Jennifer Grey,5
2014-04-01,Jennifer Grey,4
2014-05-01,Jennifer Grey,5
2014-06-01,Jennifer Grey,4
2014-07-01,Jennifer Grey,4
2014-08-01,Jennifer Grey,4
2014-09-01,Jennifer Grey,6
2014-10-01,Jennifer Grey,8
2014-11-01,Jennifer Grey,5
2014-12-01,Jennifer Grey,6
2015-01-01,Jennifer Grey,7
2015-02-01,Jennifer Grey,6
2015-03-01,Jennifer Grey,6
2015-04-01,Jennifer Grey,4
2015-05-01,Jennifer Grey,5
2015-06-01,Jennifer Grey,6
2015-07-01,Jennifer Grey,4
2015-08-01,Jennifer Grey,4
2015-09-01,Jennifer Grey,4
2015-10-01,Jennifer Grey,7
2015-11-01,Jennifer Grey,5
2015-12-01,Jennifer Grey,5
2016-01-01,Jennifer Grey,4
2016-02-01,Jennifer Grey,3
2016-03-01,Jennifer Grey,6
2016-04-01,Jennifer Grey,6
2016-05-01,Jennifer Grey,4
2016-06-01,Jennifer Grey,4
2016-07-01,Jennifer Grey,5
2016-08-01,Jennifer Grey,5
2016-09-01,Jennifer Grey,3
2016-10-01,Jennifer Grey,4
2016-11-01,Jennifer Grey,7
2016-12-01,Jennifer Grey,5
2017-01-01,Jennifer Grey,4
2017-02-01,Jennifer Grey,4
2017-03-01,Jennifer Grey,5
2017-04-01,Jennifer Grey,4
2017-05-01,Jennifer Grey,6
2017-06-01,Jennifer Grey,4
2017-07-01,Jennifer Grey,4
2017-08-01,Jennifer Grey,5
2017-09-01,Jennifer Grey,5
2017-10-01,Jennifer Grey,5
2017-11-01,Jennifer Grey,4
2017-12-01,Jennifer Grey,7
2018-01-01,Jennifer Grey,5
2018-02-01,Jennifer Grey,6
2018-03-01,Jennifer Grey,4
2018-04-01,Jennifer Grey,4
2018-05-01,Jennifer Grey,3
2018-06-01,Jennifer Grey,4
2018-07-01,Jennifer Grey,3
2018-08-01,Jennifer Grey,7
2018-09-01,Jennifer Grey,4
2018-10-01,Jennifer Grey,3
2018-11-01,Jennifer Grey,3
2018-12-01,Jennifer Grey,4
2019-01-01,Jennifer Grey,3
2019-02-01,Jennifer Grey,7
2019-03-01,Jennifer Grey,4
2019-04-01,Jennifer Grey,3
2019-05-01,Jennifer Grey,4
2019-06-01,Jennifer Grey,3
2019-07-01,Jennifer Grey,5
2019-08-01,Jennifer Grey,5
2019-09-01,Jennifer Grey,3
2019-10-01,Jennifer Grey,3
2019-11-01,Jennifer Grey,3
2019-12-01,Jennifer Grey,7
2020-01-01,Jennifer Grey,4
2020-02-01,Jennifer Grey,4
2020-03-01,Jennifer Grey,5
2020-04-01,Jennifer Grey,4
2020-05-01,Jennifer Grey,4
2020-06-01,Jennifer Grey,5
2020-07-01,Jennifer Grey,7
2020-08-01,Jennifer Grey,6
2020-09-01,Jennifer Grey,3
2020-10-01,Jennifer Grey,4
2020-11-01,Jennifer Grey,4
2020-12-01,Jennifer Grey,3
2021-01-01,Jennifer Grey,3
2021-02-01,Jennifer Grey,3
2021-03-01,Jennifer Grey,3
2021-04-01,Jennifer Grey,3
2021-05-01,Jennifer Grey,3
2021-06-01,Jennifer Grey,3
2021-07-01,Jennifer Grey,3
2021-08-01,Jennifer Grey,4
2021-09-01,Jennifer Grey,4
2021-10-01,Jennifer Grey,3
2021-11-01,Jennifer Grey,4
2021-12-01,Jennifer Grey,5
2022-01-01,Jennifer Grey,4
2022-02-01,Jennifer Grey,6
2022-03-01,Jennifer Grey,5
2022-04-01,Jennifer Grey,19
2022-05-01,Jennifer Grey,20
2022-06-01,Jennifer Grey,5
2022-07-01,Jennifer Grey,5
2022-08-01,Jennifer Grey,5
2022-09-01,Jennifer Grey,3
2022-10-01,Jennifer Grey,3
2022-11-01,Jennifer Grey,5
2022-12-01,Jennifer Grey,3
2023-01-01,Jennifer Grey,5
2023-02-01,Jennifer Grey,8
2023-03-01,Jennifer Grey,3
2023-04-01,Jennifer Grey,4
2023-05-01,Jennifer Grey,3
2023-06-01,Jennifer Grey,4
2023-07-01,Jennifer Grey,4
2023-08-01,Jennifer Grey,4
2023-09-01,Jennifer Grey,4
2023-10-01,Jennifer Grey,3
2023-11-01,Jennifer Grey,3
2023-12-01,Jennifer Grey,3
2024-01-01,Jennifer Grey,4
2024-02-01,Jennifer Grey,3
2024-03-01,Jennifer Grey,3
2024-04-01,Jennifer Grey,3
2024-05-01,Jennifer Grey,3
2024-06-01,Jennifer Grey,3
2024-07-01,Jennifer Grey,3
2024-08-01,Jennifer Grey,3
2024-09-01,Jennifer Grey,3
2024-10-01,Jennifer Grey,3
2024-11-01,Jennifer Grey,3
2024-12-01,Jennifer Grey,3
2025-01-01,Jennifer Grey,3
2025-02-01,Jennifer Grey,3
2025-03-01,Jennifer Grey,3
2025-04-01,Jennifer Grey,2
2025-05-01,Jennifer Grey,2
2025-06-01,Jennifer Grey,3
2025-07-01,Jennifer Grey,3
2025-08-01,Jennifer Grey,3
2025-09-01,Jennifer Grey,3
2025-10-01,Jennifer Grey,4
2025-11-01,Jennifer Grey,3
2025-12-01,Jennifer Grey,3
2026-01-01,Jennifer Grey,3
2004-01-01,Jerry Rice,2
2004-02-01,Jerry Rice,2
2004-03-01,Jerry Rice,1
2004-04-01,Jerry Rice,1
2004-05-01,Jerry Rice,1
2004-06-01,Jerry Rice,1
2004-07-01,Jerry Rice,1
2004-08-01,Jerry Rice,1
2004-09-01,Jerry Rice,2
2004-10-01,Jerry Rice,3
2004-11-01,Jerry Rice,1
2004-12-01,Jerry Rice,2
2005-01-01,Jerry Rice,2
2005-02-01,Jerry Rice,2
2005-03-01,Jerry Rice,1
2005-04-01,Jerry Rice,1
2005-05-01,Jerry Rice,2
2005-06-01,Jerry Rice,1
2005-07-01,Jerry Rice,1
2005-08-01,Jerry Rice,2
2005-09-01,Jerry Rice,4
2005-10-01,Jerry Rice,2
2005-11-01,Jerry Rice,2
2005-12-01,Jerry Rice,2
2006-01-01,Jerry Rice,3
2006-02-01,Jerry Rice,4
2006-03-01,Jerry Rice,2
2006-04-01,Jerry Rice,1
2006-05-01,Jerry Rice,1
2006-06-01,Jerry Rice,1
2006-07-01,Jerry Rice,1
2006-08-01,Jerry Rice,2
2006-09-01,Jerry Rice,2
2006-10-01,Jerry Rice,2
2006-11-01,Jerry Rice,2
2006-12-01,Jerry Rice,1
2007-01-01,Jerry Rice,2
2007-02-01,Jerry Rice,2
2007-03-01,Jerry Rice,1
2007-04-01,Jerry Rice,1
2007-05-01,Jerry Rice,1
2007-06-01,Jerry Rice,1
2007-07-01,Jerry Rice,1
2007-08-01,Jerry Rice,1
2007-09-01,Jerry Rice,2
2007-10-01,Jerry Rice,2
2007-11-01,Jerry Rice,2
2007-12-01,Jerry Rice,2
2008-01-01,Jerry Rice,2
2008-02-01,Jerry Rice,1
2008-03-01,Jerry Rice,1
2008-04-01,Jerry Rice,1
2008-05-01,Jerry Rice,1
2008-06-01,Jerry Rice,1
2008-07-01,Jerry Rice,1
2008-08-01,Jerry Rice,1
2008-09-01,Jerry Rice,1
2008-10-01,Jerry Rice,1
2008-11-01,Jerry Rice,1
2008-12-01,Jerry Rice,1
2009-01-01,Jerry Rice,1
2009-02-01,Jerry Rice,1
2009-03-01,Jerry Rice,1
2009-04-01,Jerry Rice,1
2009-05-01,Jerry Rice,1
2009-06-01,Jerry Rice,1
2009-07-01,Jerry Rice,1
2009-08-01,Jerry Rice,1
2009-09-01,Jerry Rice,1
2009-10-01,Jerry Rice,1
2009-11-01,Jerry Rice,1
2009-12-01,Jerry Rice,1
2010-01-01,Jerry Rice,1
2010-02-01,Jerry Rice,2
2010-03-01,Jerry Rice,1
2010-04-01,Jerry Rice,1
2010-05-01,Jerry Rice,1
2010-06-01,Jerry Rice,1
2010-07-01,Jerry Rice,1
2010-08-01,Jerry Rice,3
2010-09-01,Jerry Rice,2
2010-10-01,Jerry Rice,1
2010-11-01,Jerry Rice,2
2010-12-01,Jerry Rice,1
2011-01-01,Jerry Rice,1
2011-02-01,Jerry Rice,1
2011-03-01,Jerry Rice,1
2011-04-01,Jerry Rice,1
2011-05-01,Jerry Rice,1
2011-06-01,Jerry Rice,1
2011-07-01,Jerry Rice,1
2011-08-01,Jerry Rice,2
2011-09-01,Jerry Rice,2
2011-10-01,Jerry Rice,2
2011-11-01,Jerry Rice,2
2011-12-01,Jerry Rice,2
2012-01-01,Jerry Rice,2
2012-02-01,Jerry Rice,2
2012-03-01,Jerry Rice,1
2012-04-01,Jerry Rice,1
2012-05-01,Jerry Rice,1
2012-06-01,Jerry Rice,1
2012-07-01,Jerry Rice,1
2012-08-01,Jerry Rice,1
2012-09-01,Jerry Rice,2
2012-10-01,Jerry Rice,2
2012-11-01,Jerry Rice,1
2012-12-01,Jerry Rice,3
2013-01-01,Jerry Rice,3
2013-02-01,Jerry Rice,3
2013-03-01,Jerry Rice,1
2013-04-01,Jerry Rice,1
2013-05-01,Jerry Rice,1
2013-06-01,Jerry Rice,1
2013-07-01,Jerry Rice,1
2013-08-01,Jerry Rice,1
2013-09-01,Jerry Rice,2
2013-10-01,Jerry Rice,2
2013-11-01,Jerry Rice,2
2013-12-01,Jerry Rice,2
2014-01-01,Jerry Rice,4
2014-02-01,Jerry Rice,2
2014-03-01,Jerry Rice,1
2014-04-01,Jerry Rice,1
2014-05-01,Jerry Rice,3
2014-06-01,Jerry Rice,2
2014-07-01,Jerry Rice,1
2014-08-01,Jerry Rice,1
2014-09-01,Jerry Rice,3
2014-10-01,Jerry Rice,2
2014-11-01,Jerry Rice,2
2014-12-01,Jerry Rice,2
2015-01-01,Jerry Rice,2
2015-02-01,Jerry Rice,3
2015-03-01,Jerry Rice,1
2015-04-01,Jerry Rice,1
2015-05-01,Jerry Rice,1
2015-06-01,Jerry Rice,1
2015-07-01,Jerry Rice,1
2015-08-01,Jerry Rice,1
2015-09-01,Jerry Rice,2
2015-10-01,Jerry Rice,2
2015-11-01,Jerry Rice,3
2015-12-01,Jerry Rice,2
2016-01-01,Jerry Rice,2
2016-02-01,Jerry Rice,3
2016-03-01,Jerry Rice,1
2016-04-01,Jerry Rice,1
2016-05-01,Jerry Rice,1
2016-06-01,Jerry Rice,1
2016-07-01,Jerry Rice,1
2016-08-01,Jerry Rice,1
2016-09-01,Jerry Rice,2
2016-10-01,Jerry Rice,2
2016-11-01,Jerry Rice,1
2016-12-01,Jerry Rice,2
2017-01-01,Jerry Rice,3
2017-02-01,Jerry Rice,2
2017-03-01,Jerry Rice,1
2017-04-01,Jerry Rice,1
2017-05-01,Jerry Rice,1
2017-06-01,Jerry Rice,1
2017-07-01,Jerry Rice,1
2017-08-01,Jerry Rice,1
2017-09-01,Jerry Rice,1
2017-10-01,Jerry Rice,1
2017-11-01,Jerry Rice,1
2017-12-01,Jerry Rice,1
2018-01-01,Jerry Rice,2
2018-02-01,Jerry Rice,1
2018-03-01,Jerry Rice,1
2018-04-01,Jerry Rice,1
2018-05-01,Jerry Rice,1
2018-06-01,Jerry Rice,1
2018-07-01,Jerry Rice,1
2018-08-01,Jerry Rice,1
2018-09-01,Jerry Rice,1
2018-10-01,Jerry Rice,1
2018-11-01,Jerry Rice,2
2018-12-01,Jerry Rice,1
2019-01-01,Jerry Rice,2
2019-02-01,Jerry Rice,2
2019-03-01,Jerry Rice,1
2019-04-01,Jerry Rice,1
2019-05-01,Jerry Rice,1
2019-06-01,Jerry Rice,1
2019-07-01,Jerry Rice,1
2019-08-01,Jerry Rice,1
2019-09-01,Jerry Rice,2
2019-10-01,Jerry Rice,2
2019-11-01,Jerry Rice,2
2019-12-01,Jerry Rice,2
2020-01-01,Jerry Rice,5
2020-02-01,Jerry Rice,2
2020-03-01,Jerry Rice,1
2020-04-01,Jerry Rice,1
2020-05-01,Jerry Rice,1
2020-06-01,Jerry Rice,1
2020-07-01,Jerry Rice,1
2020-08-01,Jerry Rice,1
2020-09-01,Jerry Rice,1
2020-10-01,Jerry Rice,1
2020-11-01,Jerry Rice,1
2020-12-01,Jerry Rice,2
2021-01-01,Jerry Rice,1
2021-02-01,Jerry Rice,2
2021-03-01,Jerry Rice,1
2021-04-01,Jerry Rice,1
2021-05-01,Jerry Rice,1
2021-06-01,Jerry Rice,1
2021-07-01,Jerry Rice,1
2021-08-01,Jerry Rice,1
2021-09-01,Jerry Rice,2
2021-10-01,Jerry Rice,1
2021-11-01,Jerry Rice,1
2021-12-01,Jerry Rice,2
2022-01-01,Jerry Rice,3
2022-02-01,Jerry Rice,2
2022-03-01,Jerry Rice,1
2022-04-01,Jerry Rice,1
2022-05-01,Jerry Rice,1
2022-06-01,Jerry Rice,1
2022-07-01,Jerry Rice,1
2022-08-01,Jerry Rice,1
2022-09-01,Jerry Rice,2
2022-10-01,Jerry Rice,1
2022-11-01,Jerry Rice,1
2022-12-01,Jerry Rice,2
2023-01-01,Jerry Rice,4
2023-02-01,Jerry Rice,2
2023-03-01,Jerry Rice,1
2023-04-01,Jerry Rice,1
2023-05-01,Jerry Rice,1
2023-06-01,Jerry Rice,1
2023-07-01,Jerry Rice,1
2023-08-01,Jerry Rice,1
2023-09-01,Jerry Rice,3
2023-10-01,Jerry Rice,3
2023-11-01,Jerry Rice,2
2023-12-01,Jerry Rice,3
2024-01-01,Jerry Rice,3
2024-02-01,Jerry Rice,3
2024-03-01,Jerry Rice,2
2024-04-01,Jerry Rice,2
2024-05-01,Jerry Rice,2
2024-06-01,Jerry Rice,1
2024-07-01,Jerry Rice,1
2024-08-01,Jerry Rice,1
2024-09-01,Jerry Rice,2
2024-10-01,Jerry Rice,2
2024-11-01,Jerry Rice,1
2024-12-01,Jerry Rice,2
2025-01-01,Jerry Rice,2
2025-02-01,Jerry Rice,1
2025-03-01,Jerry Rice,1
2025-04-01,Jerry Rice,1
2025-05-01,Jerry Rice,1
2025-06-01,Jerry Rice,1
2025-07-01,Jerry Rice,1
2025-08-01,Jerry Rice,2
2025-09-01,Jerry Rice,2
2025-10-01,Jerry Rice,2
2025-11-01,Jerry Rice,2
2025-12-01,Jerry Rice,2
2026-01-01,Jerry Rice,2
2004-01-01,Jerry Springer,4
2004-02-01,Jerry Springer,4
2004-03-01,Jerry Springer,3
2004-04-01,Jerry Springer,3
2004-05-01,Jerry Springer,3
2004-06-01,Jerry Springer,3
2004-07-01,Jerry Springer,3
2004-08-01,Jerry Springer,3
2004-09-01,Jerry Springer,2
2004-10-01,Jerry Springer,2
2004-11-01,Jerry Springer,3
2004-12-01,Jerry Springer,3
2005-01-01,Jerry Springer,4
2005-02-01,Jerry Springer,3
2005-03-01,Jerry Springer,3
2005-04-01,Jerry Springer,2
2005-05-01,Jerry Springer,3
2005-06-01,Jerry Springer,3
2005-07-01,Jerry Springer,3
2005-08-01,Jerry Springer,2
2005-09-01,Jerry Springer,3
2005-10-01,Jerry Springer,3
2005-11-01,Jerry Springer,3
2005-12-01,Jerry Springer,3
2006-01-01,Jerry Springer,3
2006-02-01,Jerry Springer,3
2006-03-01,Jerry Springer,2
2006-04-01,Jerry Springer,2
2006-05-01,Jerry Springer,2
2006-06-01,Jerry Springer,2
2006-07-01,Jerry Springer,4
2006-08-01,Jerry Springer,3
2006-09-01,Jerry Springer,4
2006-10-01,Jerry Springer,5
2006-11-01,Jerry Springer,3
2006-12-01,Jerry Springer,3
2007-01-01,Jerry Springer,3
2007-02-01,Jerry Springer,3
2007-03-01,Jerry Springer,3
2007-04-01,Jerry Springer,3
2007-05-01,Jerry Springer,3
2007-06-01,Jerry Springer,3
2007-07-01,Jerry Springer,3
2007-08-01,Jerry Springer,3
2007-09-01,Jerry Springer,3
2007-10-01,Jerry Springer,3
2007-11-01,Jerry Springer,3
2007-12-01,Jerry Springer,3
2008-01-01,Jerry Springer,3
2008-02-01,Jerry Springer,3
2008-03-01,Jerry Springer,3
2008-04-01,Jerry Springer,3
2008-05-01,Jerry Springer,3
2008-06-01,Jerry Springer,3
2008-07-01,Jerry Springer,3
2008-08-01,Jerry Springer,3
2008-09-01,Jerry Springer,3
2008-10-01,Jerry Springer,2
2008-11-01,Jerry Springer,2
2008-12-01,Jerry Springer,2
2009-01-01,Jerry Springer,2
2009-02-01,Jerry Springer,2
2009-03-01,Jerry Springer,3
2009-04-01,Jerry Springer,2
2009-05-01,Jerry Springer,2
2009-06-01,Jerry Springer,2
2009-07-01,Jerry Springer,2
2009-08-01,Jerry Springer,2
2009-09-01,Jerry Springer,2
2009-10-01,Jerry Springer,2
2009-11-01,Jerry Springer,3
2009-12-01,Jerry Springer,2
2010-01-01,Jerry Springer,2
2010-02-01,Jerry Springer,3
2010-03-01,Jerry Springer,2
2010-04-01,Jerry Springer,3
2010-05-01,Jerry Springer,3
2010-06-01,Jerry Springer,2
2010-07-01,Jerry Springer,3
2010-08-01,Jerry Springer,3
2010-09-01,Jerry Springer,3
2010-10-01,Jerry Springer,3
2010-11-01,Jerry Springer,3
2010-12-01,Jerry Springer,2
2011-01-01,Jerry Springer,3
2011-02-01,Jerry Springer,3
2011-03-01,Jerry Springer,3
2011-04-01,Jerry Springer,3
2011-05-01,Jerry Springer,3
2011-06-01,Jerry Springer,3
2011-07-01,Jerry Springer,3
2011-08-01,Jerry Springer,3
2011-09-01,Jerry Springer,3
2011-10-01,Jerry Springer,3
2011-11-01,Jerry Springer,3
2011-12-01,Jerry Springer,3
2012-01-01,Jerry Springer,3
2012-02-01,Jerry Springer,3
2012-03-01,Jerry Springer,2
2012-04-01,Jerry Springer,3
2012-05-01,Jerry Springer,2
2012-06-01,Jerry Springer,3
2012-07-01,Jerry Springer,3
2012-08-01,Jerry Springer,3
2012-09-01,Jerry Springer,5
2012-10-01,Jerry Springer,2
2012-11-01,Jerry Springer,7
2012-12-01,Jerry Springer,3
2013-01-01,Jerry Springer,4
2013-02-01,Jerry Springer,3
2013-03-01,Jerry Springer,2
2013-04-01,Jerry Springer,2
2013-05-01,Jerry Springer,2
2013-06-01,Jerry Springer,2
2013-07-01,Jerry Springer,2
2013-08-01,Jerry Springer,2
2013-09-01,Jerry Springer,2
2013-10-01,Jerry Springer,2
2013-11-01,Jerry Springer,3
2013-12-01,Jerry Springer,2
2014-01-01,Jerry Springer,3
2014-02-01,Jerry Springer,2
2014-03-01,Jerry Springer,2
2014-04-01,Jerry Springer,3
2014-05-01,Jerry Springer,3
2014-06-01,Jerry Springer,2
2014-07-01,Jerry Springer,2
2014-08-01,Jerry Springer,2
2014-09-01,Jerry Springer,3
2014-10-01,Jerry Springer,2
2014-11-01,Jerry Springer,2
2014-12-01,Jerry Springer,2
2015-01-01,Jerry Springer,3
2015-02-01,Jerry Springer,2
2015-03-01,Jerry Springer,2
2015-04-01,Jerry Springer,2
2015-05-01,Jerry Springer,2
2015-06-01,Jerry Springer,2
2015-07-01,Jerry Springer,2
2015-08-01,Jerry Springer,2
2015-09-01,Jerry Springer,2
2015-10-01,Jerry Springer,2
2015-11-01,Jerry Springer,2
2015-12-01,Jerry Springer,2
2016-01-01,Jerry Springer,2
2016-02-01,Jerry Springer,2
2016-03-01,Jerry Springer,2
2016-04-01,Jerry Springer,2
2016-05-01,Jerry Springer,2
2016-06-01,Jerry Springer,2
2016-07-01,Jerry Springer,2
2016-08-01,Jerry Springer,2
2016-09-01,Jerry Springer,2
2016-10-01,Jerry Springer,2
2016-11-01,Jerry Springer,2
2016-12-01,Jerry Springer,2
2017-01-01,Jerry Springer,3
2017-02-01,Jerry Springer,3
2017-03-01,Jerry Springer,2
2017-04-01,Jerry Springer,2
2017-05-01,Jerry Springer,3
2017-06-01,Jerry Springer,2
2017-07-01,Jerry Springer,2
2017-08-01,Jerry Springer,2
2017-09-01,Jerry Springer,2
2017-10-01,Jerry Springer,2
2017-11-01,Jerry Springer,2
2017-12-01,Jerry Springer,2
2018-01-01,Jerry Springer,3
2018-02-01,Jerry Springer,2
2018-03-01,Jerry Springer,2
2018-04-01,Jerry Springer,2
2018-05-01,Jerry Springer,2
2018-06-01,Jerry Springer,3
2018-07-01,Jerry Springer,3
2018-08-01,Jerry Springer,2
2018-09-01,Jerry Springer,2
2018-10-01,Jerry Springer,2
2018-11-01,Jerry Springer,2
2018-12-01,Jerry Springer,2
2019-01-01,Jerry Springer,2
2019-02-01,Jerry Springer,2
2019-03-01,Jerry Springer,2
2019-04-01,Jerry Springer,2
2019-05-01,Jerry Springer,2
2019-06-01,Jerry Springer,2
2019-07-01,Jerry Springer,2
2019-08-01,Jerry Springer,2
2019-09-01,Jerry Springer,3
2019-10-01,Jerry Springer,2
2019-11-01,Jerry Springer,2
2019-12-01,Jerry Springer,2
2020-01-01,Jerry Springer,2
2020-02-01,Jerry Springer,2
2020-03-01,Jerry Springer,2
2020-04-01,Jerry Springer,2
2020-05-01,Jerry Springer,2
2020-06-01,Jerry Springer,2
2020-07-01,Jerry Springer,2
2020-08-01,Jerry Springer,1
2020-09-01,Jerry Springer,2
2020-10-01,Jerry Springer,2
2020-11-01,Jerry Springer,2
2020-12-01,Jerry Springer,2
2021-01-01,Jerry Springer,2
2021-02-01,Jerry Springer,2
2021-03-01,Jerry Springer,1
2021-04-01,Jerry Springer,1
2021-05-01,Jerry Springer,1
2021-06-01,Jerry Springer,2
2021-07-01,Jerry Springer,2
2021-08-01,Jerry Springer,2
2021-09-01,Jerry Springer,1
2021-10-01,Jerry Springer,1
2021-11-01,Jerry Springer,2
2021-12-01,Jerry Springer,1
2022-01-01,Jerry Springer,2
2022-02-01,Jerry Springer,1
2022-03-01,Jerry Springer,2
2022-04-01,Jerry Springer,2
2022-05-01,Jerry Springer,2
2022-06-01,Jerry Springer,1
2022-07-01,Jerry Springer,1
2022-08-01,Jerry Springer,2
2022-09-01,Jerry Springer,1
2022-10-01,Jerry Springer,2
2022-11-01,Jerry Springer,2
2022-12-01,Jerry Springer,1
2023-01-01,Jerry Springer,1
2023-02-01,Jerry Springer,1
2023-03-01,Jerry Springer,1
2023-04-01,Jerry Springer,100
2023-05-01,Jerry Springer,17
2023-06-01,Jerry Springer,4
2023-07-01,Jerry Springer,3
2023-08-01,Jerry Springer,2
2023-09-01,Jerry Springer,2
2023-10-01,Jerry Springer,2
2023-11-01,Jerry Springer,2
